,n_cal,n_test,q_hat,coverage,avg_set_size
gender=0.0,3411.0,3385.0,0.3261112865260589,0.9045790251107829,0.9447562776957164
gender=1.0,4247.0,4273.0,0.3564903666045902,0.9007722911303534,0.9527264217177627
age_group=50-65,2393.0,2388.0,0.3318016546186977,0.9028475711892797,0.9468174204355109
age_group=<50,1753.0,1749.0,0.20794202711557233,0.9010863350485993,0.9233847913093196
age_group=>65,3512.0,3521.0,0.4012411647454648,0.9028685032661176,0.9653507526270946
