feature,importance
MAP_max,0.0018443537918283008
DBP_std,0.0018393191553813502
Hct_last,0.0018152126161048924
hr_variability,0.0018101054777620686
HCO3_std,0.0017978904658853573
Calcium_max,0.0017907502153207875
SaO2_mean,0.0017614919643135563
Chloride_last,0.0017207643449972281
Calcium_last,0.0016763683900484195
Hct_first,0.0016693054520170285
PTT_min,0.0016597992762661842
SBP_max,0.0016348098521193463
Lactate_last,0.0016315748842083517
Lactate_first,0.0016059665666752977
HR_std,0.001578083331825887
PTT_mean,0.0015633546044930716
Calcium_first,0.0015592744352812533
SaO2_max,0.0015461720446196486
Hgb_last,0.0015408623845920987
WBC_mean,0.001538734756440927
pH_std,0.0015007547132758381
Glucose_max,0.0014999048328329218
Resp_min,0.001480560097569529
Hgb_mean,0.0013993243683464937
Hgb_first,0.001395048387901845
HCO3_mean,0.0013867915535386059
pH_min,0.00138043486871422
DBP_max,0.0013742120793434182
Platelets_mean,0.0013604416048093992
Hct_max,0.001351021587916209
Platelets_max,0.0013479783863506933
SaO2_last,0.001337300862792562
Hct_mean,0.0013309126527394919
PaCO2_min,0.0013000408157511079
WBC_min,0.0012790206537398134
HR_min,0.0012505862052100104
HR_max,0.0012360136921844148
Alkalinephos_std,0.0012346417992205577
PaCO2_mean,0.001233386019509977
HR_mean,0.001228210831298607
Fibrinogen_mean,0.0012275410932055886
Lactate_max,0.0012035514541538057
pH_first,0.0011767633363315231
Hct_min,0.0011713475196018983
Chloride_max,0.0011562490113348571
pH_max,0.0011479680623686264
Fibrinogen_last,0.0011385968079598858
O2Sat_min,0.0009936251008325645
PTT_max,0.0009067794535331694
Resp_max,0.0008706348708898377
HCO3_first,0.0008662275063845864
Bilirubin_total_std,0.0008222247643435536
Magnesium_min,0.0008193852349900161
Fibrinogen_std,0.000814656676665086
BaseExcess_std,0.0008003706851331589
PaCO2_max,0.0007996624428091735
PTT_last,0.0007880748303592951
Lactate_mean,0.0007866977744305545
Hgb_max,0.000783669756491026
AST_max,0.00075241864406459
BaseExcess_last,0.0007275432319138637
FiO2_min,0.0007218653747759988
FiO2_last,0.0007026005490905107
HCO3_min,0.0006833705469520945
Magnesium_max,0.000681388005498658
Alkalinephos_mean,0.0006809394063805714
Bilirubin_total_last,0.0006727548910993583
Fibrinogen_min,0.0006682092489096667
Alkalinephos_max,0.0006451299808008081
Alkalinephos_last,0.0006356358035579793
Potassium_min,0.000629285547561588
AST_min,0.0005878261969403159
Chloride_min,0.000562025508775858
Bilirubin_total_mean,0.0005521526078123585
Gender,0.0005364698969433273
Fibrinogen_first,0.0005296328337899171
BaseExcess_first,0.0005295506667258533
AST_last,0.000521340785239175
AST_first,0.00051121707002413
AST_mean,0.00048724824533762686
Magnesium_first,0.0004694533572156706
Lactate_min,0.00045382320790381147
Hgb_min,0.0004224843652330153
Unit2,0.00037595167714531857
Bilirubin_total_max,0.0003715503090780304
Bilirubin_total_min,0.0003616505109281757
TroponinI_std,0.000334241518228055
O2Sat_max,0.00032352553216484725
Fibrinogen_max,0.00032081111804261415
HCO3_max,0.00029789382381599586
TroponinI_max,0.00029349261469789113
HCO3_last,0.00027924146011074394
Bilirubin_direct_last,0.00024133110110445772
Alkalinephos_min,0.00022134308247062805
TroponinI_last,0.0002001375216200039
Alkalinephos_first,0.00019395793623491577
BaseExcess_max,0.00019055457089803144
Bilirubin_total_first,0.00016794230394804346
Bilirubin_direct_max,0.0001559791850235227
TroponinI_mean,0.0001521537040478921
Bilirubin_direct_min,0.00015170316122838757
Bilirubin_direct_std,0.00013957941089335295
ever_sepsis,0.00010281112467662138
TroponinI_min,8.744520236424366e-05
Unit1,5.5489499118992003e-05
Bilirubin_direct_mean,0.0
Bilirubin_direct_first,0.0
TroponinI_first,0.0
